Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
ABLIM2,1,0,0,0,1,0,1,0,3,3,9,1.Unperturbed
ABRAXAS2,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ACAD10,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
ACADS,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
ACAP1,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
ACSF2,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
ACSL3,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
ACSM1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ACTG1,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
ADA2,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
ADAMTS14,-1,NA,0,-1,-1,NA,NA,0,3,-3,-9,1.Unperturbed
ADAP1,0,0,0,1,1,1,0,0,3,3,9,1.Unperturbed
ADCY3,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ADCY4,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
ADCY5,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
ADCY7,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
ADGRG1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ADNP,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
ADNP2,1,0,0,0,1,1,0,0,3,3,9,1.Unperturbed
ADORA2B,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ADORA3,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
ADRA2A,1,0,0,1,1,NA,NA,0,3,3,9,1.Unperturbed
AFAP1L2,0,0,0,1,1,1,0,0,3,3,9,1.Unperturbed
AGL,0,0,0,1,0,1,1,0,3,3,9,1.Unperturbed
AKAP5,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
ALAD,1,0,0,1,1,0,0,0,3,3,9,1.Unperturbed
ALDH2,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ALS2,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
AMH,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
ANKRD11,1,0,0,1,1,0,0,0,3,3,9,1.Unperturbed
ANKRD16,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
ANKUB1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
AOC3,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
AP3B1,0,0,0,1,0,1,1,NA,3,3,9,1.Unperturbed
APH1A,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
APOBEC3B,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
APOL4,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
APTX,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
ARAP3,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
