Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
BLOC1S1,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
BMERB1,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
BMP2K,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BOLA1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BOLA2,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BORA,0,0,0,1,1,1,0,0,3,3,9,1.Unperturbed
BRD2,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BRPF1,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
BTBD3,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
BTBD6,0,0,0,1,0,0,1,1,3,3,9,1.Unperturbed
C11orf24,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
C11orf71,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
C12orf43,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
C14orf93,0,0,0,-1,-1,0,-1,0,3,-3,-9,1.Unperturbed
C1QBP,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
C2CD2L,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
C2CD5,0,0,0,1,1,0,1,0,3,3,9,1.Unperturbed
C4orf3,1,0,0,0,0,0,1,1,3,3,9,1.Unperturbed
C5orf24,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
CA13,0,0,1,1,1,0,0,0,3,3,9,1.Unperturbed
CA4,-1,0,0,-1,0,-1,0,0,3,-3,-9,1.Unperturbed
CACNA1C,-1,0,0,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
CALCOCO1,0,0,-1,-1,0,0,-1,0,3,-3,-9,1.Unperturbed
CALCOCO2,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
CALM2,1,0,0,1,0,NA,1,0,3,3,9,1.Unperturbed
CARD6,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
CARD8,-1,0,0,0,-1,-1,0,0,3,-3,-9,1.Unperturbed
CASP4,1,0,0,1,0,0,1,0,3,3,9,1.Unperturbed
CASP8,1,0,1,1,0,0,0,0,3,3,9,1.Unperturbed
CCDC120,-1,0,0,-1,-1,0,0,0,3,-3,-9,1.Unperturbed
CCDC14,1,0,0,1,0,1,0,0,3,3,9,1.Unperturbed
